year,Médiane,Médiane privé,Médiane public,Chérie FM,Europe 1,France Bleu,France Culture,France Info,France Inter,France Musique,Fun Radio,MOUV,NRJ,Nostalgie,RFI,RFM,RMC,RTL,RTL 2,Radio Classique,Rire et Chansons,Skyrock,Sud Radio,Virgin Radio
1995,24.82399091871768,,24.82399091871768,,,,26.493306730156824,21.084562721312615,23.154675107278536,33.81679238499137,,,,,,,,,,,,,,
1996,24.752070512258076,,24.752070512258076,,,,26.45951220838969,22.31983725539606,23.044628816126462,32.18476890587846,,,,,,,,,,,,,,
1997,25.403080728028662,,25.403080728028662,,,,26.717378727798852,21.428715132779423,24.209414408490556,26.596747047566772,,,,,,,,,,,,,,
1998,24.67776146098679,,24.67776146098679,,,,26.568255124270163,21.682073499555273,24.683776842462983,24.671746079510598,,,,,,,,,,,,,,
1999,26.61922038699293,,26.61922038699293,,,,27.04228562033844,23.0463198417795,26.89423034142486,26.344210432561,,,,,,,,,,,,,,
2000,26.867927391622132,,26.867927391622132,,,38.311947336877175,26.54346912100846,25.447945975599907,25.435155384077795,27.1923856622358,,,,,29.21668085924457,,,,,,,,,
2001,25.008555805100908,24.778417387103396,25.49253930555242,,22.051852389558878,34.63646580056023,24.517416671579248,25.182645346979683,25.802433264125153,18.82817609494691,24.834466263222133,,,27.59088150908976,29.421712151422742,,24.72236851098466,26.436943538671997,,,,18.28415949068026,,
2002,26.593992144858035,26.88132212021077,26.593992144858035,47.10994424236209,24.267006847306977,32.046099174249214,24.647119439673606,26.18439259014434,27.00359169957173,16.842350781665907,,,19.871312881960137,,29.53184171569163,33.46871278467056,25.44385958029311,28.318784660128426,31.176975476418605,,,18.91632559094845,,
2003,26.46947073357163,27.0558587324233,25.75487367355191,46.03444471353921,26.718574877676666,34.28120288252227,25.289380757637225,25.012043327389293,26.220366589466593,18.306608058719366,22.530317885941948,,20.749310680765447,30.691771681964,28.737272321352236,34.19015928982982,25.620971374595484,27.393142587169933,31.045340884394967,,,18.795643039554346,,
2004,25.60319286211759,26.144163026359845,25.60319286211759,48.383607470997276,23.684981245625156,37.53233189187671,24.789654757917123,25.05183989857242,26.154545825662762,15.829068977565377,21.01982244811963,,21.291824144384123,29.055527637008886,28.670031809983143,33.526031698210076,24.86227125954769,27.426054793172,33.33399871769509,,,17.614834713633126,,
2005,26.125757130707978,25.023703759212772,26.197003671871666,45.45162674591405,23.67489577214853,37.85389362786568,23.798155390433095,26.515004828604393,25.87900251513894,20.660844146301514,18.847856946018005,,21.009304528212656,27.86991268134366,30.826719489397597,36.905782639667265,19.758080932435888,26.372511746277016,33.10641279378454,,,18.17789463257266,,
